image_path,steering_angle,bin_center,session_id,timestamp,intersection_turn_mode
images/image_20260627_142947_428681_c1a646f7.png,0.048248,0.05,20260627_142946_c215c49d,2026-06-27T14:29:47.428681,1
images/image_20260627_142947_559248_175e5b4b.png,0.058478,0.05,20260627_142946_c215c49d,2026-06-27T14:29:47.559248,1
images/image_20260627_142947_692586_79cbe259.png,0.043133,0.05,20260627_142946_c215c49d,2026-06-27T14:29:47.692586,1
images/image_20260627_142947_820904_85b10bdd.png,0.024378,0.00,20260627_142946_c215c49d,2026-06-27T14:29:47.820904,1
images/image_20260627_142947_948599_109cf3d3.png,0.022673,0.00,20260627_142946_c215c49d,2026-06-27T14:29:47.948599,1
images/image_20260627_142948_049896_20b012ac.png,0.000000,0.00,20260627_142946_c215c49d,2026-06-27T14:29:48.049896,1
images/image_20260627_142948_142729_84a9ceba.png,-0.009040,0.00,20260627_142946_c215c49d,2026-06-27T14:29:48.142729,1
images/image_20260627_142948_230053_2f994847.png,-0.029500,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.230053,1
images/image_20260627_142948_298290_0f229c2d.png,-0.034615,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.298290,1
images/image_20260627_142948_384289_e5410e18.png,-0.038025,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.384289,1
images/image_20260627_142948_459776_68d50eb8.png,-0.038025,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.459776,1
images/image_20260627_142948_543434_1452fcbe.png,-0.038025,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.543434,1
images/image_20260627_142948_621733_f6958f33.png,-0.061895,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.621733,1
images/image_20260627_142948_698469_e7241edc.png,-0.070420,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.698469,1
images/image_20260627_142948_780340_1dc1f765.png,-0.072125,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.780340,1
images/image_20260627_142948_863705_da3bcab4.png,-0.073830,-0.05,20260627_142946_c215c49d,2026-06-27T14:29:48.863705,1
images/image_20260627_142948_940456_30f8a421.png,-0.075535,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:48.940456,1
images/image_20260627_142949_013182_43957367.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.013182,1
images/image_20260627_142949_089309_149663d3.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.089309,1
images/image_20260627_142949_171866_7c9eca81.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.171866,1
images/image_20260627_142949_248465_abc77184.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.248465,1
images/image_20260627_142949_322297_30ca9ec0.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.322297,1
images/image_20260627_142949_396080_58e51fda.png,-0.078945,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.396080,1
images/image_20260627_142949_480626_3675d23d.png,-0.080650,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.480626,1
images/image_20260627_142949_555833_85746dc5.png,-0.080650,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.555833,1
images/image_20260627_142949_631721_d26804e9.png,-0.113045,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.631721,1
images/image_20260627_142949_704869_31eb91e1.png,-0.114750,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.704869,1
images/image_20260627_142949_785032_9b3f038f.png,-0.114750,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.785032,1
images/image_20260627_142949_871022_0146ba00.png,-0.114750,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.871022,1
images/image_20260627_142949_943361_5fc28822.png,-0.121570,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:49.943361,1
images/image_20260627_142950_016643_27525ca4.png,-0.121570,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:50.016643,1
images/image_20260627_142950_094262_893b7a47.png,-0.123275,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:50.094262,1
images/image_20260627_142950_163127_c6c8116a.png,-0.123275,-0.10,20260627_142946_c215c49d,2026-06-27T14:29:50.163127,1
